Id|ExportNaarOrafin|Naam|VerantwoordelijkeAutoriteitCode|status uit ipdc
DVR000000219|True|Werkingssubsidie voor Bioforum Vlaanderen vzw|OVO000082|actief
DVR000000220|True|Subsidie ikv landbouweducatie|OVO000082|actief
DVR000000221|True|Subsidie ikv stimulering biologische landbouw|OVO000082|actief
DVR000000222|True|Subsidie ikv land- en tuinbouwbeleid|OVO000082|actief
DVR000000225|True|Kmo-groeisubsidie|OVO000039|actief
DVR000000226|True|Ontwikkelingsproject|OVO000039|actief
DVR000000227|True|Onderzoeksproject|OVO000039|actief
DVR000000228|True|Strategische transformatiesteun (STS)|OVO000039|actief
DVR000000229|True|Ecologisch en veilig transport|OVO000039|actief
DVR000000230|True|Ecologiepremie plus|OVO000039|actief
DVR000000231|True|Strategische ecologiesteun (STRES)|OVO000039|actief
DVR000000232|True|Compensatie indirecte emissiekosten|OVO000039|actief
DVR000000233|True|Hinderpremie|OVO000039|actief
DVR000000234|True|Sluitingspremie|OVO000039|actief
DVR000000235|True|Innovatiemandaten|OVO000039|actief
DVR000000236|True|Baekeland-mandaat|OVO000039|actief
DVR000000237|True|Screen Flanders|OVO000039|actief
DVR000000238|True|Bedrijventerreinen|OVO000039|actief
DVR000000239|True|Bedrijventerreinmanagement|OVO000039|actief
DVR000000240|True|Beveiliging bedrijventerreinen|OVO000039|actief
DVR000000241|True|Incubatoren|OVO000039|actief
DVR000000242|True|Bedrijvencentra en doorgangsgebouwen|OVO000039|actief
DVR000000243|True|VIS-trajecten voor innovatievolgers|OVO000039|actief
DVR000000244|True|Innovatieclusters (speerpunt + IBN)|OVO000039|actief
DVR000000245|True|Tetra|OVO000039|actief
DVR000000246|True|Subsidies voor landbouwtrajecten|OVO000039|actief
DVR000000247|True|KMO-haalbaarheidsstudie|OVO000039|actief
DVR000000248|True|KMO-innovatieprojecten|OVO000039|actief
DVR000000249|True|Sprint-Project|OVO000039|actief
DVR000000250|True|O&O-bedrijfsproject|OVO000039|actief
DVR000000251|True|Transformationeel geneeskundig onderzoek|OVO000039|actief
DVR000000252|True|VIS-Trajecten|OVO000039|actief
DVR000000253|True|Inkomenscompensatievergoeding - Vlaams Gewest|OVO000039|actief
DVR000000254|True|Rentetoelage voor hinder bij openbare werken|OVO000039|actief
DVR000000255|True|VIS-collectief onderzoek|OVO000039|actief
DVR000000258|True|Facultatieve subsidie MBM|OVO000190|actief
DVR000000259|True|Subsidies in kader van het decreet mobiliteitsbeleid – Mobiliteitscharter|OVO000190|actief
DVR000000260|True|Investeringssubsidies havens|OVO000190|actief
DVR000000263|True|Facultatieve subsidie DAV|OVO000096|actief
DVR000000264|True|Facultatieve subsidie Hinterlandconnectiviteit|OVO000096|actief
DVR000000265|True|Facultatieve subsidie ontwikkelingssamenwerking|OVO000096|actief
DVR000000266|True|Subsidies decreet personenvervoer|OVO000096|actief
DVR000000267|True|Subsidies luchthavens LOM-LEM decreet|OVO000096|actief
DVR000000268|True|Subsidies mobiliteitsverenigingen|OVO000096|actief
DVR000000269|True|Subsidies ter compensatie van de openbaredienstverplichting tot het vervoer van personen met een handicap of een ernstig beperkte mobiliteit|OVO000096|actief
DVR000000270|True|Subsidies Oprichting Vlaamse Stichting voor Verkeerskunde|OVO000096|actief
DVR000000273|True|Thema overschrijdend - internationalisering|OVO000038|actief
DVR000000274|True|Thema overschrijdend - beleidsmonitoring/studies/evaluaties/adviezen|OVO000038|actief
DVR000000275|True|Thema overschrijdend - EX FFEU|OVO000038|actief
DVR000000276|True|Toegang tot financiering voor ondernemingen - economisch overheidsinstrumentarium|OVO000038|actief
DVR000000277|True|Domeinspecifiek fundamenteel wetenschappelijk onderzoek|OVO000038|actief
DVR000000278|True|Onderzoeksinfrastructuur - Lissabonstrategie|OVO000038|actief
DVR000000279|True|Post Initieel Onderwijs|OVO000038|actief
DVR000000280|True|Brugfunctie tussen fundamenteel en toegepast onderzoek|OVO000038|actief
DVR000000281|True|Wetenschapspopularisering en -communicatie - sensibiliseren en samenleving|OVO000038|actief
DVR000000284|True|Toeleiding naar zorg en ondersteuning en naar hulpmiddelen|OVO000060|actief
DVR000000285|True|Schoolopleiding (reiskosten)|OVO000060|actief
DVR000000286|True|Hulpmiddelen|OVO000060|actief
DVR000000287|True|Financieren van rechtstreeks toegankelijke zorg en ondersteuning|OVO000060|actief
DVR000000288|True|Terugvorderbaar vs PVB/PAB werkkapitaal minderjarigen (esr 83): PAB werkkapitaal minderjarigen|OVO000060|actief
DVR000000289|True|Terugvorderbaar vs PVB/PAB werkkapitaal minderjarigen (esr 83): PVB terugvorderbare voorschotten|OVO000060|actief
DVR000000290|True|PVB cash-besteding|OVO000060|actief
DVR000000291|True|PAB budgetten|OVO000060|actief
DVR000000292|True|PVB voucher-besteding|OVO000060|actief
DVR000000293|True|Financiering zorg via organisaties die zorg en ondersteuning bieden: MFC|OVO000060|actief
DVR000000294|True|Financiering zorg via organisaties die zorg en ondersteuning bieden: PVC minderjarigen|OVO000060|actief
DVR000000295|True|Financiering zorg via organisaties die zorg en ondersteuning bieden: IPH (prioritaire hulp minderjarigen)|OVO000060|actief
DVR000000296|True|Financiering zorg via organisaties die zorg en ondersteuning bieden: PVB organisatiegebonden kosten|OVO000060|actief
DVR000000297|True|Financiering zorg via organisaties die zorg en ondersteuning bieden: vergoedingen via instellingen buiten Vlaanderen|OVO000060|actief
DVR000000298|True|Financiering zorg via organisaties die zorg en ondersteuning bieden: ODB-units|OVO000060|actief
DVR000000299|True|Financiering zorg via organisaties die zorg en ondersteuning bieden: gespecialiseerde units voor geïnterneerden|OVO000060|actief
DVR000000300|True|Financiering zorg via organisaties die zorg en ondersteuning bieden: kortverblijf|OVO000060|actief
DVR000000301|True|Infrastructuursubsidies|OVO000060|actief
DVR000000302|True|Oninvorderbare ten onrechte uitbetaalde tegemoetkomingen|OVO000060|actief
DVR000000303|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: bijstandsorganisaties|OVO000060|actief
DVR000000304|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: CAB - doventolken|OVO000060|actief
DVR000000305|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: teletolken (Vlaamse infolijn)|OVO000060|actief
DVR000000306|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: mentororganisatie|OVO000060|actief
DVR000000307|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: KATHO - assistentiehonden|OVO000060|actief
DVR000000308|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: ROG|OVO000060|actief
DVR000000309|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: VGPH|OVO000060|actief
DVR000000310|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: VVI|OVO000060|actief
DVR000000311|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: vertrouwenartsencentrum|OVO000060|actief
DVR000000312|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: SEN (consulentenwerking)|OVO000060|actief
DVR000000313|True|Ondersteunende en intermediaire organisaties - aan vzw's tbv gezinnen: projectsubsidies|OVO000060|actief
DVR000000314|True|Aanvullende financieringsvormen - aan vzw's tbv gezinnen: DAC|OVO000060|actief
DVR000000315|True|Ondersteunende en intermediaire organisaties - geldelijke uitkeringen aan gezinnen|OVO000060|actief
DVR000000316|True|Aanvullende financieringsvormen - geldelijke uitkeringen aan gezinnen|OVO000060|actief
DVR000000317|True|Ondersteunende en intermediaire organisaties - uitkeringen in natura aan gezinnen: REVA (onderhoudstoelagen)|OVO000060|actief
